pkgs,contents,urls
tidytuesdayR,2020_09_15_government_spending_kids.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_15_government_spending_kids.Rmd
scales,2020_09_15_government_spending_kids.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_15_government_spending_kids.Rmd
ggthemes,2020_09_15_government_spending_kids.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_15_government_spending_kids.Rmd
widyr,2020_09_15_government_spending_kids.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_15_government_spending_kids.Rmd
tidycensus,2020_09_15_government_spending_kids.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_15_government_spending_kids.Rmd
knitr,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
tidyverse,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
tidytuesdayR,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
scales,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
devtools,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
ebbr,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
broom,2020_09_22_himalayan_climbers.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_22_himalayan_climbers.Rmd
knitr,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
tidyverse,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
tidytuesdayR,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
scales,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
tidytext,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
lubridate,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
tidylo,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
readr,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
janitor,2020_09_29_taylor_swift_beyonce.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_09_29_taylor_swift_beyonce.Rmd
knitr,2020_10_06_ncaa_womens_basketball.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_06_ncaa_womens_basketball.Rmd
tidyverse,2020_10_06_ncaa_womens_basketball.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_06_ncaa_womens_basketball.Rmd
tidytuesdayR,2020_10_06_ncaa_womens_basketball.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_06_ncaa_womens_basketball.Rmd
scales,2020_10_06_ncaa_womens_basketball.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_06_ncaa_womens_basketball.Rmd
glue,2020_10_06_ncaa_womens_basketball.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_06_ncaa_womens_basketball.Rmd
knitr,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
tidyverse,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
tidytuesdayR,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
scales,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
glue,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
tidylo,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
tidytext,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
broom,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
ggthemes,2020_10_20_beer_awards.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_10_20_beer_awards.Rmd
knitr,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
tidyverse,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
tidytuesdayR,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
scales,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
glue,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
ggridges,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
broom,2020_11_03_ikea.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_03_ikea.Rmd
