pkgs,contents,urls
tidytext,content/blog/tidylo-cran/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidylo-cran/index.Rmarkdown
ggrepel,content/blog/tidylo-cran/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidylo-cran/index.Rmarkdown
knitr,content/blog/tidymodels-book/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidymodels-book/index.Rmarkdown
scales,content/blog/tidymodels-book/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidymodels-book/index.Rmarkdown
tidyverse,content/blog/tidymodels-book/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidymodels-book/index.Rmarkdown
silgelib,content/blog/tidymodels-book/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidymodels-book/index.Rmarkdown
knitr,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
scales,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
tidyverse,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
silgelib,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
tidytext,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
janeaustenr,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
